local_record_time_utc,chainlink_tick_time_utc,chainlink_price,coinbase_mid,coinbase_trade_price,binance_mid,binance_trade_price,coinbase_sample_time_utc,binance_sample_time_utc
2026-01-21T04:25:32.835818+00:00,2026-01-21T04:25:32+00:00,89358.714087,89360.08499999999,89360.92,89460.89499999999,89460.89499999999,2026-01-21T04:25:32.835819+00:00,2026-01-21T04:25:32.835819+00:00
2026-01-21T04:25:34.491299+00:00,2026-01-21T04:25:33+00:00,89358.38919933942,89359.56,89360.92,89460.89499999999,89460.89499999999,2026-01-21T04:25:34.491299+00:00,2026-01-21T04:25:34.491300+00:00
2026-01-21T04:25:35.242559+00:00,2026-01-21T04:25:34+00:00,89357.85373798503,89359.11499999999,89360.22,89460.89499999999,89460.89499999999,2026-01-21T04:25:35.242560+00:00,2026-01-21T04:25:35.242560+00:00
2026-01-21T04:25:35.931528+00:00,2026-01-21T04:25:35+00:00,89358.3909302594,89359.025,89360.0,89460.89499999999,89460.89499999999,2026-01-21T04:25:35.931529+00:00,2026-01-21T04:25:35.931529+00:00
2026-01-21T04:25:37.417530+00:00,2026-01-21T04:25:36+00:00,89357.58561594988,89358.005,89360.0,89460.89499999999,89460.89499999999,2026-01-21T04:25:37.417531+00:00,2026-01-21T04:25:37.417531+00:00
2026-01-21T04:25:38.298924+00:00,2026-01-21T04:25:37+00:00,89357.71800215403,89358.215,89360.42,89460.89499999999,89460.89499999999,2026-01-21T04:25:38.298924+00:00,2026-01-21T04:25:38.298925+00:00
2026-01-21T04:25:39.040559+00:00,2026-01-21T04:25:38+00:00,89357.755,89358.215,89360.42,89460.89499999999,89460.89499999999,2026-01-21T04:25:39.040560+00:00,2026-01-21T04:25:39.040560+00:00
2026-01-21T04:25:40.565412+00:00,2026-01-21T04:25:39+00:00,89357.67176026419,89358.035,89358.03,89460.89499999999,89460.89499999999,2026-01-21T04:25:40.565413+00:00,2026-01-21T04:25:40.565413+00:00
2026-01-21T04:25:41.620067+00:00,2026-01-21T04:25:40+00:00,89357.62194774837,89358.035,89358.03,89460.89499999999,89460.89499999999,2026-01-21T04:25:41.620068+00:00,2026-01-21T04:25:41.620068+00:00
2026-01-21T04:25:42.512595+00:00,2026-01-21T04:25:41+00:00,89357.63016755346,89358.035,89358.03,89460.89499999999,89460.89499999999,2026-01-21T04:25:42.512596+00:00,2026-01-21T04:25:42.512597+00:00
2026-01-21T04:25:43.197229+00:00,2026-01-21T04:25:42+00:00,89357.658148784,89358.035,89358.03,89460.89499999999,89460.89499999999,2026-01-21T04:25:43.197230+00:00,2026-01-21T04:25:43.197230+00:00
2026-01-21T04:25:44.131702+00:00,2026-01-21T04:25:43+00:00,89357.783,89358.035,89358.04,89460.89499999999,89460.89499999999,2026-01-21T04:25:44.131702+00:00,2026-01-21T04:25:44.131703+00:00
2026-01-21T04:25:44.870703+00:00,2026-01-21T04:25:44+00:00,89357.6412637696,89358.035,89358.04,89460.89499999999,89460.89499999999,2026-01-21T04:25:44.870704+00:00,2026-01-21T04:25:44.870704+00:00
2026-01-21T04:25:46.502140+00:00,2026-01-21T04:25:45+00:00,89357.00596204672,89358.035,89358.04,89460.89499999999,89460.89499999999,2026-01-21T04:25:46.502140+00:00,2026-01-21T04:25:46.502141+00:00
2026-01-21T04:25:47.673835+00:00,2026-01-21T04:25:46+00:00,89357.46137681973,89357.005,89356.0,89467.455,89467.455,2026-01-21T04:25:47.673836+00:00,2026-01-21T04:25:47.673836+00:00
2026-01-21T04:25:48.220364+00:00,2026-01-21T04:25:47+00:00,89358.04814442009,89357.005,89356.0,89467.455,89467.455,2026-01-21T04:25:48.220365+00:00,2026-01-21T04:25:48.220365+00:00
2026-01-21T04:25:48.998133+00:00,2026-01-21T04:25:48+00:00,89358.24145092008,89357.005,89356.0,89467.455,89467.455,2026-01-21T04:25:48.998134+00:00,2026-01-21T04:25:48.998135+00:00
2026-01-21T04:25:50.263682+00:00,2026-01-21T04:25:49+00:00,89357.9823164737,89360.465,89360.92,89467.455,89467.455,2026-01-21T04:25:50.263683+00:00,2026-01-21T04:25:50.263683+00:00
2026-01-21T04:25:50.987231+00:00,2026-01-21T04:25:50+00:00,89358.82931647371,89360.465,89360.92,89467.455,89467.455,2026-01-21T04:25:50.987231+00:00,2026-01-21T04:25:50.987232+00:00
2026-01-21T04:25:52.264323+00:00,2026-01-21T04:25:51+00:00,89359.24420219407,89360.49,89360.07,89467.455,89467.455,2026-01-21T04:25:52.264323+00:00,2026-01-21T04:25:52.264324+00:00
2026-01-21T04:25:53.041167+00:00,2026-01-21T04:25:52+00:00,89359.24424429204,89360.515,89360.91,89467.455,89467.455,2026-01-21T04:25:53.041168+00:00,2026-01-21T04:25:53.041169+00:00
2026-01-21T04:25:54.237172+00:00,2026-01-21T04:25:53+00:00,89359.30096499201,89360.515,89360.91,89467.455,89467.455,2026-01-21T04:25:54.237173+00:00,2026-01-21T04:25:54.237173+00:00
2026-01-21T04:25:54.959276+00:00,2026-01-21T04:25:54+00:00,89359.30096499201,89360.515,89360.91,89467.455,89467.455,2026-01-21T04:25:54.959276+00:00,2026-01-21T04:25:54.959276+00:00
2026-01-21T04:25:56.316688+00:00,2026-01-21T04:25:55+00:00,89360.0256725,89360.53,89360.92,89467.455,89467.455,2026-01-21T04:25:56.316688+00:00,2026-01-21T04:25:56.316688+00:00
2026-01-21T04:25:57.025941+00:00,2026-01-21T04:25:56+00:00,89359.19593575373,89360.535,89360.91,89467.455,89467.455,2026-01-21T04:25:57.025942+00:00,2026-01-21T04:25:57.025942+00:00
2026-01-21T04:25:58.388769+00:00,2026-01-21T04:25:57+00:00,89359.972437,89360.94,89360.98,89467.455,89467.455,2026-01-21T04:25:58.388770+00:00,2026-01-21T04:25:58.388770+00:00
2026-01-21T04:25:59.278275+00:00,2026-01-21T04:25:58+00:00,89360.06164026882,89360.975,89360.98,89467.455,89467.455,2026-01-21T04:25:59.278276+00:00,2026-01-21T04:25:59.278277+00:00
2026-01-21T04:26:00.427001+00:00,2026-01-21T04:25:59+00:00,89359.297407,89360.975,89360.98,89467.455,89467.455,2026-01-21T04:26:00.427002+00:00,2026-01-21T04:26:00.427002+00:00
2026-01-21T04:26:01.051010+00:00,2026-01-21T04:26:00+00:00,89359.297407,89360.08,89362.0,89467.455,89467.455,2026-01-21T04:26:01.051011+00:00,2026-01-21T04:26:01.051012+00:00
2026-01-21T04:26:02.453830+00:00,2026-01-21T04:26:01+00:00,89359.321393,89359.5,89360.8,89467.455,89467.455,2026-01-21T04:26:02.453830+00:00,2026-01-21T04:26:02.453831+00:00
2026-01-21T04:26:03.110506+00:00,2026-01-21T04:26:02+00:00,89359.3081065,89360.66,89363.17,89467.455,89467.455,2026-01-21T04:26:03.110507+00:00,2026-01-21T04:26:03.110507+00:00
2026-01-21T04:26:03.700003+00:00,2026-01-21T04:26:03+00:00,89359.292588,89360.06,89361.94,89467.455,89467.455,2026-01-21T04:26:03.700004+00:00,2026-01-21T04:26:03.700004+00:00
2026-01-21T04:26:05.016324+00:00,2026-01-21T04:26:04+00:00,89358.660654,89358.185,89358.19,89467.455,89467.455,2026-01-21T04:26:05.016325+00:00,2026-01-21T04:26:05.016325+00:00
2026-01-21T04:26:06.455417+00:00,2026-01-21T04:26:05+00:00,89358.86105,89360.01,89361.84,89467.455,89467.455,2026-01-21T04:26:06.455417+00:00,2026-01-21T04:26:06.455418+00:00
2026-01-21T04:26:07.138721+00:00,2026-01-21T04:26:06+00:00,89359.0913355,89362.55,89363.05,89467.455,89467.455,2026-01-21T04:26:07.138722+00:00,2026-01-21T04:26:07.138722+00:00
